OBJECTID,id_person,Season,classifica,league_nam,team_name,team_id,City_PoB,State_Pob,State_Abbr,Country_Po,Region_PoB,Group_PoB,PoB_Lat,PoB_Long
98092,157107,2016,MLB,American,TB,2016_American_TB,Memphis_TN_US,Memphis,TN,US,Northern America,Northern America,35.149022,-90.051628
98098,157107,2016,MLB,American,TB,2016_American_TB,Memphis_TN_US,Memphis,TN,US,Northern America,Northern America,35.149022,-90.051628
98146,157218,2016,MLB,American,OAK,2016_American_OAK,LaHabana_LaHabana_CU,La Habana, ,CU,Caribbean,Latin America and the Caribbean,23.138028,-82.365867
98153,157218,2016,MLB,American,OAK,2016_American_OAK,LaHabana_LaHabana_CU,La Habana, ,CU,Caribbean,Latin America and the Caribbean,23.138028,-82.365867
98319,157532,2016,MLB,American,CLE,2016_American_CLE,StLouis_MO_US,St. Louis,MO,US,Northern America,Northern America,38.627273,-90.197889
98320,157532,2016,MLB,American,OAK,2016_American_OAK,StLouis_MO_US,St. Louis,MO,US,Northern America,Northern America,38.627273,-90.197889
98329,157532,2016,MLB,American,CLE,2016_American_CLE,StLouis_MO_US,St. Louis,MO,US,Northern America,Northern America,38.627273,-90.197889
98330,157532,2016,MLB,American,OAK,2016_American_OAK,StLouis_MO_US,St. Louis,MO,US,Northern America,Northern America,38.627273,-90.197889
98427,157856,2016,MLB,National,ARI,2016_National_ARI,StLouis_MO_US,St. Louis,MO,US,Northern America,Northern America,38.627273,-90.197889
98598,158244,2016,MLB,National,SD,2016_National_SD,Reading_PA_US,Reading,PA,US,Northern America,Northern America,40.335345,-75.927949
98599,158244,2016,MLB,National,SD,2016_National_SD,Reading_PA_US,Reading,PA,US,Northern America,Northern America,40.335345,-75.927949
98702,158399,2016,MLB,National,STL,2016_National_STL,Caracas_DistritoFederal_VE, ,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
98705,158399,2016,MLB,National,STL,2016_National_STL,Caracas_DistritoFederal_VE, ,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
98797,158492,2016,MLB,National,MIA,2016_National_MIA,Farmington_NM_US,Farmington,NM,US,Northern America,Northern America,36.730429,-108.208919
98804,158492,2016,MLB,National,MIA,2016_National_MIA,Farmington_NM_US,Farmington,NM,US,Northern America,Northern America,36.730429,-108.208919
99017,158737,2016,MLB,National,CHC,2016_National_CHC,Aira-gun_Kagoshima_JP,Aira-gun,Kagoshima,JP,Eastern Asia,Asia,31.521587,130.547408
99022,158737,2016,MLB,National,CHC,2016_National_CHC,Aira-gun_Kagoshima_JP,Aira-gun,Kagoshima,JP,Eastern Asia,Asia,31.521587,130.547408
99183,158909,2016,MLB,American,LAA,2016_American_LAA,HuntingtonBeach_CA_US,Huntington Beach,CA,US,Northern America,Northern America,33.678124,-118.000011
99193,158909,2016,MLB,American,LAA,2016_American_LAA,HuntingtonBeach_CA_US,Huntington Beach,CA,US,Northern America,Northern America,33.678124,-118.000011
99214,158929,2016,MLB,American,BAL,2016_American_BAL,Tampa_FL_US,Tampa,FL,US,Northern America,Northern America,27.94776,-82.458444
99375,159286,2016,MLB,National,PHI,2016_National_PHI,Landstuhl_Rhineland-Palatinate_DE,Landstuhl,Rhineland-Palatinate,DE,Western Europe,Europe,49.414331,7.57223
99378,159286,2016,MLB,National,PHI,2016_National_PHI,Landstuhl_Rhineland-Palatinate_DE,Landstuhl,Rhineland-Palatinate,DE,Western Europe,Europe,49.414331,7.57223
99661,159734,2016,MLB,American,BOS,2016_American_BOS,Lexington_KY_US,Lexington,KY,US,Northern America,Northern America,38.046407,-84.497039
99787,159803,2016,MLB,National,WSH,2016_National_WSH,BatonRouge_LA_US,Baton Rouge,LA,US,Northern America,Northern America,30.450746,-91.154551
99793,159803,2016,MLB,National,WSH,2016_National_WSH,BatonRouge_LA_US,Baton Rouge,LA,US,Northern America,Northern America,30.450746,-91.154551
99994,159996,2016,MLB,American,BOS,2016_American_BOS,Neyagawa_Osaka_JP,Neyagawa,Osaka,JP,Eastern Asia,Asia,34.75986,135.6248
100028,160131,2016,MLB,American,CLE,2016_American_CLE,Northbrook_IL_US,Northbrook,IL,US,Northern America,Northern America,42.129688,-87.830542
100034,160131,2016,MLB,American,CLE,2016_American_CLE,Northbrook_IL_US,Northbrook,IL,US,Northern America,Northern America,42.129688,-87.830542
100039,160190,2016,MLB,American,LAA,2016_American_LAA,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
100055,160190,2016,MLB,American,LAA,2016_American_LAA,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
100196,160417,2016,MLB,National,PIT,2016_National_PIT,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
100199,160417,2016,MLB,National,PIT,2016_National_PIT,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
100343,160712,2016,MLB,National,ATL,2016_National_ATL,WallaWalla_WA_US,Walla Walla,WA,US,Northern America,Northern America,46.065,-118.330278
100429,160785,2016,MLB,National,PHI,2016_National_PHI,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
100430,160785,2016,MLB,National,PHI,2016_National_PHI,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
100432,160793,2016,MLB,National,PIT,2016_National_PIT,Tallahassee_FL_US,Tallahassee,FL,US,Northern America,Northern America,30.438083,-84.280933
100435,160793,2016,MLB,National,PIT,2016_National_PIT,Tallahassee_FL_US,Tallahassee,FL,US,Northern America,Northern America,30.438083,-84.280933
100469,160837,2016,MLB,National,STL,2016_National_STL,Pinehurst_NC_US,Pinehurst,NC,US,Northern America,Northern America,35.195435,-79.469477
100473,160837,2016,MLB,National,STL,2016_National_STL,Pinehurst_NC_US,Pinehurst,NC,US,Northern America,Northern America,35.195435,-79.469477
100521,160941,2016,MLB,American,LAA,2016_American_LAA,ElTigre_Anzoategui_VE,El Tigre,Anzoategui,VE,South America,Latin America and the Caribbean,8.887242,-64.253035
100523,160941,2016,MLB,American,LAA,2016_American_LAA,ElTigre_Anzoategui_VE,El Tigre,Anzoategui,VE,South America,Latin America and the Caribbean,8.887242,-64.253035
100573,161068,2016,MLB,National,SF,2016_National_SF,Chattanooga_TN_US,Chattanooga,TN,US,Northern America,Northern America,35.04563,-85.30968
100575,161068,2016,MLB,National,SF,2016_National_SF,Chattanooga_TN_US,Chattanooga,TN,US,Northern America,Northern America,35.04563,-85.30968
100587,161112,2016,MLB,National,CIN,2016_National_CIN,FortMyers_FL_US,Fort Myers,FL,US,Northern America,Northern America,26.640628,-81.872308
100589,161112,2016,MLB,National,CIN,2016_National_CIN,FortMyers_FL_US,Fort Myers,FL,US,Northern America,Northern America,26.640628,-81.872308
101006,161797,2016,MLB,American,HOU,2016_American_HOU,Hollywood_FL_US,Hollywood,FL,US,Northern America,Northern America,26.011201,-80.14949
101013,161797,2016,MLB,American,HOU,2016_American_HOU,Hollywood_FL_US,Hollywood,FL,US,Northern America,Northern America,26.011201,-80.14949
101572,162613,2016,MLB,National,SD,2016_National_SD,SanPedrodeMacoris_SanPedrodeMacoris_DO,San Pedro de Macoris, ,DO,Caribbean,Latin America and the Caribbean,18.460116,-69.302739
101576,162613,2016,MLB,National,SD,2016_National_SD,SanPedrodeMacoris_SanPedrodeMacoris_DO,San Pedro de Macoris, ,DO,Caribbean,Latin America and the Caribbean,18.460116,-69.302739
101761,162906,2016,MLB,National,CHC,2016_National_CHC,Northridge_CA_US,Northridge,CA,US,Northern America,Northern America,34.228592,-118.536932
101763,162906,2016,MLB,National,CHC,2016_National_CHC,Northridge_CA_US,Northridge,CA,US,Northern America,Northern America,34.228592,-118.536932
101789,163030,2016,MLB,National,PHI,2016_National_PHI,Flemington_NJ_US,Flemington,NJ,US,Northern America,Northern America,40.512326,-74.859332
101797,163030,2016,MLB,National,PHI,2016_National_PHI,Flemington_NJ_US,Flemington,NJ,US,Northern America,Northern America,40.512326,-74.859332
101965,163204,2016,MLB,American,CWS,2016_American_CWS,Newhall_CA_US,Newhall,CA,US,Northern America,Northern America,34.379877,-118.529192
101969,163204,2016,MLB,National,SD,2016_National_SD,Newhall_CA_US,Newhall,CA,US,Northern America,Northern America,34.379877,-118.529192
101977,163204,2016,MLB,American,CWS,2016_American_CWS,Newhall_CA_US,Newhall,CA,US,Northern America,Northern America,34.379877,-118.529192
101981,163204,2016,MLB,National,SD,2016_National_SD,Newhall_CA_US,Newhall,CA,US,Northern America,Northern America,34.379877,-118.529192
102005,163244,2016,MLB,National,COL,2016_National_COL,Chesapeake_VA_US,Chesapeake,VA,US,Northern America,Northern America,36.718371,-76.24668
102008,163244,2016,MLB,National,COL,2016_National_COL,Chesapeake_VA_US,Chesapeake,VA,US,Northern America,Northern America,36.718371,-76.24668
